league,season,game,round,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
ENG-EFL Cup,2021,2020-08-29 Blackburn Rovers-Doncaster Rovers,First round,Sat,2020-08-29,15:00,Blackburn Rovers,3–2,Doncaster Rovers,,Ewood Park,Anthony Backhouse,/en/matches/eaf5fe69/Blackburn-Rovers-Doncaster-Rovers-August-29-2020-EFL-Cup,,eaf5fe69
ENG-EFL Cup,2021,2020-08-29 Preston North End-Mansfield Town,First round,Sat,2020-08-29,15:00,Preston North End,4–0,Mansfield Town,,Deepdale Stadium,Ross Joyce,/en/matches/7ec27361/Preston-North-End-Mansfield-Town-August-29-2020-EFL-Cup,,7ec27361
ENG-EFL Cup,2021,2020-08-29 Stevenage-Portsmouth,First round,Sat,2020-08-29,15:00,Stevenage,(1) 3–3 (3),Portsmouth,,The Lamex Stadium,Sam Purkiss,/en/matches/4a9a329b/Stevenage-Portsmouth-August-29-2020-EFL-Cup,Portsmouth won on penalty kicks following extra time,4a9a329b
ENG-EFL Cup,2021,2020-08-29 Stoke City-Blackpool,First round,Sat,2020-08-29,15:00,Stoke City,(5) 0–0 (4),Blackpool,,Bet365 Stadium,James Adcock,/en/matches/66e36edf/Stoke-City-Blackpool-August-29-2020-EFL-Cup,Stoke City won on penalty kicks following extra time,66e36edf
ENG-EFL Cup,2021,2020-09-04 Burton Albion-Accrington Stanley,First round,Fri,2020-09-04,19:30,Burton Albion,(4) 1–1 (2),Accrington Stanley,,Pirelli Stadium,Andy Haines,/en/matches/1220db1c/Burton-Albion-Accrington-Stanley-September-4-2020-EFL-Cup,Burton Albion won on penalty kicks following extra time,1220db1c
ENG-EFL Cup,2021,2020-09-04 Middlesbrough-Shrewsbury Town,First round,Fri,2020-09-04,17:30,Middlesbrough,4–3,Shrewsbury Town,,Riverside Stadium,Michael Salisbury,/en/matches/2ac05012/Middlesbrough-Shrewsbury-Town-September-4-2020-EFL-Cup,,2ac05012
ENG-EFL Cup,2021,2020-09-05 Barnsley-Nottingham Forest,First round,Sat,2020-09-05,15:00,Barnsley,1–0,Nottingham Forest,,Oakwell Stadium,Marc Edwards,/en/matches/9925629b/Barnsley-Nottingham-Forest-September-5-2020-EFL-Cup,,9925629b
ENG-EFL Cup,2021,2020-09-05 Birmingham City-Cambridge United,First round,Sat,2020-09-05,15:00,Birmingham City,0–1,Cambridge United,,St Andrew's Trillion Trophy Stadium,Leigh Doughty,/en/matches/101dd87c/Birmingham-City-Cambridge-United-September-5-2020-EFL-Cup,,101dd87c
ENG-EFL Cup,2021,2020-09-05 Bolton Wanderers-Bradford City,First round,Sat,2020-09-05,15:00,Bolton Wanderers,1–2,Bradford City,,University of Bolton Stadium,Martin Coy,/en/matches/54877faa/Bolton-Wanderers-Bradford-City-September-5-2020-EFL-Cup,,54877faa
ENG-EFL Cup,2021,2020-09-05 Bristol City-Exeter City,First round,Sat,2020-09-05,14:00,Bristol City,2–0,Exeter City,,Ashton Gate Stadium,Chris Sarginson,/en/matches/b78ae9c4/Bristol-City-Exeter-City-September-5-2020-EFL-Cup,,b78ae9c4
ENG-EFL Cup,2021,2020-09-05 Crawley Town-Millwall,First round,Sat,2020-09-05,13:00,Crawley Town,1–3,Millwall,,The People’s Pension Stadium,David Rock,/en/matches/ff1cca10/Crawley-Town-Millwall-September-5-2020-EFL-Cup,,ff1cca10
ENG-EFL Cup,2021,2020-09-05 Crewe Alexandra-Lincoln City,First round,Sat,2020-09-05,15:00,Crewe Alexandra,1–2,Lincoln City,,Alexandra Stadium,Scott Oldham,/en/matches/4ebf7db0/Crewe-Alexandra-Lincoln-City-September-5-2020-EFL-Cup,,4ebf7db0
