league,season,game,round,day,date,time,home_team,score,away_team,attendance,venue,referee,match_report,notes,game_id
ENG-FA Cup,1617,2016-11-04 Eastleigh-Swindon Town,First round,Fri,2016-11-04,19:55,Eastleigh,1–1,Swindon Town,3312,Silverlake Stadium,Oliver Langford,/en/matches/029a6ea7/Eastleigh-Swindon-Town-November-4-2016-FA-Cup,,029a6ea7
ENG-FA Cup,1617,2016-11-04 Millwall-Southend United,First round,Fri,2016-11-04,19:45,Millwall,1–0,Southend United,4502,The Den,James Linington,/en/matches/814ac3f4/Millwall-Southend-United-November-4-2016-FA-Cup,,814ac3f4
ENG-FA Cup,1617,2016-11-05 Bolton Wanderers-Grimsby Town,First round,Sat,2016-11-05,15:00,Bolton Wanderers,1–0,Grimsby Town,6649,Macron Stadium,Trevor Kettle,/en/matches/e9a34cc0/Bolton-Wanderers-Grimsby-Town-November-5-2016-FA-Cup,,e9a34cc0
ENG-FA Cup,1617,2016-11-05 Bradford City-Accrington Stanley,First round,Sat,2016-11-05,15:00,Bradford City,1–2,Accrington Stanley,4985,Northern Commercials Stadium,Graham Salisbury,/en/matches/af26858b/Bradford-City-Accrington-Stanley-November-5-2016-FA-Cup,,af26858b
ENG-FA Cup,1617,2016-11-05 Braintree Town-Eastbourne Bor,First round,Sat,2016-11-05,15:00,Braintree Town,7–0,Eastbourne Bor,645,Ironmongery Direct Stadium,Stephen Ross,/en/matches/1745275d/Braintree-Town-Eastbourne-Bor-November-5-2016-FA-Cup,,1745275d
ENG-FA Cup,1617,2016-11-05 Bury-AFC Wimbledon,First round,Sat,2016-11-05,15:00,Bury,2–2,AFC Wimbledon,2346,Gigg Lane,Jeremy Simpson,/en/matches/3328342b/Bury-AFC-Wimbledon-November-5-2016-FA-Cup,,3328342b
ENG-FA Cup,1617,2016-11-05 Cambridge United-Dover Athletic,First round,Sat,2016-11-05,15:00,Cambridge United,1–1,Dover Athletic,2620,The Cambs Glass Stadium,Nick Kinseley,/en/matches/6b96c811/Cambridge-United-Dover-Athletic-November-5-2016-FA-Cup,,6b96c811
ENG-FA Cup,1617,2016-11-05 Charlton Athletic-Scunthorpe United,First round,Sat,2016-11-05,15:00,Charlton Athletic,3–1,Scunthorpe United,4123,The Valley,Chris Sarginson,/en/matches/f95bed55/Charlton-Athletic-Scunthorpe-United-November-5-2016-FA-Cup,,f95bed55
ENG-FA Cup,1617,2016-11-05 Cheltenham Town-Crewe Alexandra,First round,Sat,2016-11-05,15:00,Cheltenham Town,1–1,Crewe Alexandra,2880,Jonny-Rocks Stadium,Michael Salisbury,/en/matches/d0f7f92e/Cheltenham-Town-Crewe-Alexandra-November-5-2016-FA-Cup,,d0f7f92e
ENG-FA Cup,1617,2016-11-05 Colchester United-Chesterfield,First round,Sat,2016-11-05,15:00,Colchester United,1–2,Chesterfield,1840,JobServe Community Stadium,Lee Probert,/en/matches/51cf173a/Colchester-United-Chesterfield-November-5-2016-FA-Cup,,51cf173a
ENG-FA Cup,1617,2016-11-05 Crawley Town-Bristol Rovers,First round,Sat,2016-11-05,12:00,Crawley Town,1–1,Bristol Rovers,2281,Checkatrade.com Stadium,Darren Deadman,/en/matches/11098da5/Crawley-Town-Bristol-Rovers-November-5-2016-FA-Cup,,11098da5
ENG-FA Cup,1617,2016-11-05 Dagenham & Redbridge-FC Halifax Town,First round,Sat,2016-11-05,15:00,Dagenham & Redbridge,0–0,FC Halifax Town,1387,Chigwell Construction Stadium,Neil Hair,/en/matches/4b582c12/Dagenham-and-Redbridge-FC-Halifax-Town-November-5-2016-FA-Cup,,4b582c12
ENG-FA Cup,1617,2016-11-05 Dartford-Sutton United,First round,Sat,2016-11-05,15:00,Dartford,3–6,Sutton United,1689,Princes Park,Samuel Allison,/en/matches/417d8df7/Dartford-Sutton-United-November-5-2016-FA-Cup,,417d8df7
ENG-FA Cup,1617,2016-11-05 Exeter City-Luton Town,First round,Sat,2016-11-05,15:00,Exeter City,1–3,Luton Town,2972,St. James' Park,John Busby,/en/matches/27078101/Exeter-City-Luton-Town-November-5-2016-FA-Cup,,27078101
